Subject,Sleep,State,Congruency,Slope
002,WR,Alert,Congruent,7.166985403291
004,WR,Alert,Congruent,17.7968037248905
005,WR,Alert,Congruent,12.7729955133845
009,WR,Alert,Congruent,1.77306279809076
010,WR,Alert,Congruent,5.78143540825827
013,WR,Alert,Congruent,8.36839126757056
016,WR,Alert,Congruent,-4.69300665709624
018,WR,Alert,Congruent,10.4805889812135
019,WR,Alert,Congruent,3.72211522548948
020,WR,Alert,Congruent,6.56426095721582
021,WR,Alert,Congruent,12.7715890141348
022,WR,Alert,Congruent,-0.616947591341445
023,WR,Alert,Congruent,5.27918702738088
024,WR,Alert,Congruent,15.3462346187304
026,WR,Alert,Congruent,6.26957917888508
027,WR,Alert,Congruent,15.4641884857876
028,WR,Alert,Congruent,8.61369381631848
031,WR,Alert,Congruent,3.65630959627623
032,WR,Alert,Congruent,7.80563682928904
036,WR,Alert,Congruent,0.396213061304034
039,WR,Alert,Congruent,-4.41844771491509
040,WR,Alert,Congruent,2.33454742126211
041,WR,Alert,Congruent,5.93020084525268
047,WR,Alert,Congruent,5.08723901927635
048,WR,Alert,Congruent,7.7816470719334
050,WR,Alert,Congruent,7.4361230835196
051,WR,Alert,Congruent,10.143623014889
052,WR,Alert,Congruent,7.4491205047593
053,WR,Alert,Congruent,6.70274308708323
002,WR,Alert,Incongruent,5.0950263794481
004,WR,Alert,Incongruent,17.665674495718
005,WR,Alert,Incongruent,9.57848215469039
009,WR,Alert,Incongruent,1.0271835981506
010,WR,Alert,Incongruent,8.17034797553212
013,WR,Alert,Incongruent,7.9642576603783
016,WR,Alert,Incongruent,-3.70431530812862
018,WR,Alert,Incongruent,6.49835102141022
019,WR,Alert,Incongruent,5.44446401448368
020,WR,Alert,Incongruent,8.13617010868572
021,WR,Alert,Incongruent,11.9941767121508
022,WR,Alert,Incongruent,-2.02475083624122
023,WR,Alert,Incongruent,4.1675181550848
024,WR,Alert,Incongruent,14.6572467442248
026,WR,Alert,Incongruent,7.93209576551741
027,WR,Alert,Incongruent,14.6405104749933
028,WR,Alert,Incongruent,4.33740307496875
031,WR,Alert,Incongruent,6.88668782284796
032,WR,Alert,Incongruent,6.978982664808
036,WR,Alert,Incongruent,-4.86751946075905
039,WR,Alert,Incongruent,-4.57302295878969
040,WR,Alert,Incongruent,1.9199990204757
041,WR,Alert,Incongruent,7.25226117650104
047,WR,Alert,Incongruent,6.61308111932124
048,WR,Alert,Incongruent,7.13412878950334
050,WR,Alert,Incongruent,5.28948646730808
051,WR,Alert,Incongruent,5.41380465183581
052,WR,Alert,Incongruent,5.21208971151847
053,WR,Alert,Incongruent,4.05260259244285
002,WR,Drowsy,Congruent,-3.5729303917508
003,WR,Drowsy,Congruent,-0.393994097039718
004,WR,Drowsy,Congruent,-4.04149985152941
005,WR,Drowsy,Congruent,2.08155670834526
009,WR,Drowsy,Congruent,1.3434938914513
013,WR,Drowsy,Congruent,-0.681413068741298
018,WR,Drowsy,Congruent,1.35934547377631
019,WR,Drowsy,Congruent,6.18653412105901
020,WR,Drowsy,Congruent,-0.556598807446163
021,WR,Drowsy,Congruent,5.5059541776346
022,WR,Drowsy,Congruent,-0.113008469117574
023,WR,Drowsy,Congruent,-3.18561290629724
024,WR,Drowsy,Congruent,11.6881044062918
025,WR,Drowsy,Congruent,2.89982091395202
026,WR,Drowsy,Congruent,7.06577112070041
027,WR,Drowsy,Congruent,-1.40332569169717
028,WR,Drowsy,Congruent,1.71612847361902
030,WR,Drowsy,Congruent,-0.031014806383772
031,WR,Drowsy,Congruent,4.14126886243992
032,WR,Drowsy,Congruent,2.19610986382938
039,WR,Drowsy,Congruent,-0.910753689916976
040,WR,Drowsy,Congruent,2.96320679094587
041,WR,Drowsy,Congruent,3.48312847873482
047,WR,Drowsy,Congruent,3.31928250480973
049,WR,Drowsy,Congruent,3.68832407518494
050,WR,Drowsy,Congruent,-4.04072061637412
051,WR,Drowsy,Congruent,4.91839262598682
052,WR,Drowsy,Congruent,7.96361295279817
053,WR,Drowsy,Congruent,7.47360765847119
002,WR,Drowsy,Incongruent,0.0672353686532739
003,WR,Drowsy,Incongruent,2.10830975201555
004,WR,Drowsy,Incongruent,-2.7842173885771
005,WR,Drowsy,Incongruent,1.56199757119698
009,WR,Drowsy,Incongruent,0.906890438916069
013,WR,Drowsy,Incongruent,-5.32098935522351
018,WR,Drowsy,Incongruent,2.10942191211344
019,WR,Drowsy,Incongruent,6.64631195819976
020,WR,Drowsy,Incongruent,1.91783191892766
021,WR,Drowsy,Incongruent,4.80845379581472
022,WR,Drowsy,Incongruent,0.167970013603067
023,WR,Drowsy,Incongruent,-5.67858339727162
024,WR,Drowsy,Incongruent,10.9953259630274
025,WR,Drowsy,Incongruent,2.49135251444066
026,WR,Drowsy,Incongruent,6.57766053301594
027,WR,Drowsy,Incongruent,-2.54901261648634
028,WR,Drowsy,Incongruent,2.80266874947262
030,WR,Drowsy,Incongruent,0.451161751143899
031,WR,Drowsy,Incongruent,1.24077144527095
032,WR,Drowsy,Incongruent,3.74547156738099
039,WR,Drowsy,Incongruent,-0.568482921278025
040,WR,Drowsy,Incongruent,1.17681853460329
041,WR,Drowsy,Incongruent,5.79733624170056
047,WR,Drowsy,Incongruent,4.95323960184369
049,WR,Drowsy,Incongruent,3.87828123664703
050,WR,Drowsy,Incongruent,-2.4708603788734
051,WR,Drowsy,Incongruent,5.46312357933003
052,WR,Drowsy,Incongruent,3.55568290425662
053,WR,Drowsy,Incongruent,1.26395871953337
001,SD,Alert,Congruent,3.66605326015262
008,SD,Alert,Congruent,3.7978021984599
009,SD,Alert,Congruent,0.876720292699026
012,SD,Alert,Congruent,1.34593829636049
015,SD,Alert,Congruent,8.3364312278985
016,SD,Alert,Congruent,5.33006963109348
017,SD,Alert,Congruent,4.74636580074374
019,SD,Alert,Congruent,4.01037077597331
020,SD,Alert,Congruent,6.53067223710733
021,SD,Alert,Congruent,11.1764309137635
022,SD,Alert,Congruent,-4.45064568720554
023,SD,Alert,Congruent,3.0740786962139
024,SD,Alert,Congruent,19.1774235938741
025,SD,Alert,Congruent,8.21061704687204
026,SD,Alert,Congruent,9.86130384754743
027,SD,Alert,Congruent,16.7103934910508
028,SD,Alert,Congruent,9.97225616100912
029,SD,Alert,Congruent,18.900807368509
032,SD,Alert,Congruent,6.80748351654423
037,SD,Alert,Congruent,0.244774273618579
039,SD,Alert,Congruent,-2.05484736291956
040,SD,Alert,Congruent,0.403595422348655
041,SD,Alert,Congruent,8.20960618675011
050,SD,Alert,Congruent,0.374802090826643
051,SD,Alert,Congruent,12.7826644108815
052,SD,Alert,Congruent,8.79055245426472
001,SD,Alert,Incongruent,4.11802902567015
008,SD,Alert,Incongruent,4.6023099046424
009,SD,Alert,Incongruent,0.717049669001378
012,SD,Alert,Incongruent,0.607771391232715
015,SD,Alert,Incongruent,7.43946930046018
016,SD,Alert,Incongruent,7.78511472477407
017,SD,Alert,Incongruent,5.81401971237136
019,SD,Alert,Incongruent,2.59748803540608
020,SD,Alert,Incongruent,8.08187946150652
021,SD,Alert,Incongruent,11.9623765541777
022,SD,Alert,Incongruent,-1.37753628380524
023,SD,Alert,Incongruent,4.60564885801939
024,SD,Alert,Incongruent,17.6642406018587
025,SD,Alert,Incongruent,3.42633257314953
026,SD,Alert,Incongruent,10.5447197425556
027,SD,Alert,Incongruent,14.4256697409945
028,SD,Alert,Incongruent,10.4947581954201
029,SD,Alert,Incongruent,14.5676392489397
032,SD,Alert,Incongruent,5.51914913198055
037,SD,Alert,Incongruent,2.82088157686155
039,SD,Alert,Incongruent,-1.04167506003592
040,SD,Alert,Incongruent,0.318127772974972
041,SD,Alert,Incongruent,6.21010179168164
050,SD,Alert,Incongruent,0.804315262406458
051,SD,Alert,Incongruent,10.4927981582646
052,SD,Alert,Incongruent,5.08577426050216
001,SD,Drowsy,Congruent,-6.15996542057729
002,SD,Drowsy,Congruent,-0.359935135099014
004,SD,Drowsy,Congruent,0.934182305052791
008,SD,Drowsy,Congruent,1.32687356155112
009,SD,Drowsy,Congruent,4.00873841997321
012,SD,Drowsy,Congruent,6.20562399636763
015,SD,Drowsy,Congruent,1.60000548455344
017,SD,Drowsy,Congruent,6.22843840586287
018,SD,Drowsy,Congruent,3.1159681873574
019,SD,Drowsy,Congruent,5.05611389030219
020,SD,Drowsy,Congruent,-1.28185311017415
021,SD,Drowsy,Congruent,1.29922519593987
022,SD,Drowsy,Congruent,0.0391161052192696
023,SD,Drowsy,Congruent,-1.0371999166123
024,SD,Drowsy,Congruent,11.2739394269505
025,SD,Drowsy,Congruent,2.60140485266823
026,SD,Drowsy,Congruent,2.80673642172405
027,SD,Drowsy,Congruent,-0.500557818093322
028,SD,Drowsy,Congruent,9.24444314563012
030,SD,Drowsy,Congruent,1.64372182254407
031,SD,Drowsy,Congruent,2.48363738196217
032,SD,Drowsy,Congruent,0.739325330471642
035,SD,Drowsy,Congruent,1.89362786380369
037,SD,Drowsy,Congruent,0.912903497610299
038,SD,Drowsy,Congruent,0.948778244804016
039,SD,Drowsy,Congruent,1.6970164684917
040,SD,Drowsy,Congruent,0.709008387915996
041,SD,Drowsy,Congruent,4.2708305852408
042,SD,Drowsy,Congruent,0.870824810104332
050,SD,Drowsy,Congruent,-3.78180851223328
051,SD,Drowsy,Congruent,3.35283321374363
052,SD,Drowsy,Congruent,3.23587756931723
001,SD,Drowsy,Incongruent,-4.61641741612743
002,SD,Drowsy,Incongruent,-0.879711830336408
004,SD,Drowsy,Incongruent,-2.71617656825907
008,SD,Drowsy,Incongruent,4.56040620329339
009,SD,Drowsy,Incongruent,3.49201478612355
012,SD,Drowsy,Incongruent,0.15803828594821
015,SD,Drowsy,Incongruent,2.19358065685443
017,SD,Drowsy,Incongruent,0.658086581225454
018,SD,Drowsy,Incongruent,3.06549545591677
019,SD,Drowsy,Incongruent,3.87911271389915
020,SD,Drowsy,Incongruent,5.76133241030475
021,SD,Drowsy,Incongruent,0.360423065705425
022,SD,Drowsy,Incongruent,-2.2370650139075
023,SD,Drowsy,Incongruent,-5.88878355112334
024,SD,Drowsy,Incongruent,11.9659391186939
025,SD,Drowsy,Incongruent,2.88864449555232
026,SD,Drowsy,Incongruent,3.86663501297726
027,SD,Drowsy,Incongruent,-0.946379608822726
028,SD,Drowsy,Incongruent,4.53983220856182
030,SD,Drowsy,Incongruent,2.05041441089372
031,SD,Drowsy,Incongruent,2.84847982592866
032,SD,Drowsy,Incongruent,1.05409486597641
035,SD,Drowsy,Incongruent,2.03904920291258
037,SD,Drowsy,Incongruent,2.27236298789695
038,SD,Drowsy,Incongruent,1.14817343196121
039,SD,Drowsy,Incongruent,0.913205274028218
040,SD,Drowsy,Incongruent,0.654608579760373
041,SD,Drowsy,Incongruent,4.77643081023246
042,SD,Drowsy,Incongruent,1.18450235683167
050,SD,Drowsy,Incongruent,0.144775871049653
051,SD,Drowsy,Incongruent,3.17959109595634
052,SD,Drowsy,Incongruent,5.69917282088674
